Organization,Address,Region,Tuition,Website,Location Rank
Beacon Academy,"1574 Sherman Ave, Evanston, IL 60201",Chicago,"$33,495",,Preferred Location
"British International School of Chicago, Lincoln Park","814 & 821 W. Eastman St., Chicago",Chicago,"$36,600",,Preferred Location
Catherine Cook School,"226 W. Schiller St., Chicago",Chicago,"$36,450",,Preferred Location
Chicago Academy for the Arts,"1010 W. Chicago Ave., Chicago, IL 60642",Chicago,"$36,000",,Preferred Location
Chicago City Day School,"541 W. Hawthorne Place, Chicago",Chicago,"$35,600",,Preferred Location
Chicago Jewish Day School,"3730 N. California Ave., Chicago",Chicago,"$32,520",,Preferred Location
Francis W. Parker School,"330 W. Webster Ave., Chicago",Chicago,"$42,320",,Preferred Location
Hyde Park Day School,"6254 S. Ellis Ave., Chicago",Chicago,"$35,906",,Preferred Location
North Shore Country Day School,"310 Green Bay Rd, Winnetka, IL 60093",Chicago,"$41,425",,Preferred Location
Sacred Heart Schools Chicago,"6250 N. Sheridan Road, Chicago",Chicago,"$41,950",,Preferred Location
University of Chicago Laboratory Schools,"1362 E. 59th St., Chicago",Chicago,"$42,510",,Preferred Location
Black Bear Academy,"1801 W. Byron St., Chicago",Chicago,"$36,000",,Preferred Location
Blue Bird Day,"1233 W. Adams St., Chicago",Chicago,"$30,000",,Preferred Location
"British International School of Chicago, South Loop","161 W. 9th St., Chicago",Chicago,"$41,950",,Preferred Location
Lake Forest Academy,"1500 Kennedy Rd, Lake Forest, IL 60045",Chicago,"$53,200",,Preferred Location
Rochelle Zell Jewish High School,"1095 Lake Cook Rd, Deerfield, IL 60015",Chicago,"$34,450",,Preferred Location
Woodlands Academy of the Sacred Heart,"760 E Westleigh Rd, Lake Forest, IL 60045",Chicago,"$31,900",,Preferred Location
